estado;segmento;nome;whatsapp;telefone;email;site;endereco;cidade;uf;cep;url;website;categoria;telefone_e164
AC;Auto Peças;Portela Auto Peças;;(68) 3235-1164;;;Av. Adenilson Rogério de Oliveira, Acrelândia - AC, 69945-000;ACRELÂNDIA;;69945-000;https://www.google.com/maps/place/Portela+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x93d5411eb2ab3e49:0x4257a9d1ac7b8f90!8m2!3d-10.0730087!4d-67.0539818!16s%2Fg%2F11gdkq429w!19sChIJST6rsh5B1ZMRkI97rNGpV0I?authuser=0&hl=pt-BR&rclk=1;;Comércio;5,56832E+11
AC;Auto Peças;martins auto peças;;(68) 99978-7924;;;Av. Paraná, 3, Acrelândia - AC, 69945-000;ACRELÂNDIA;;69945-000;https://www.google.com/maps/place/martins+auto+pe%C3%A7as/data=!4m7!3m6!1s0x93d533761075bf95:0x22312096db4f8011!8m2!3d-10.0740752!4d-67.0550063!16s%2Fg%2F1th5kj_p!19sChIJlb91EHYz1ZMREYBP25YgMSI?authuser=0&hl=pt-BR&rclk=1;;Comércio;5,569E+12
AC;Auto Peças;M&M Mecânica e Auto Peças;;(68) 99975-1870;;;AC-475, Acrelândia - AC, 69945-000;ACRELÂNDIA;;69945-000;https://www.google.com/maps/place/M%26M+Mec%C3%A2nica+e+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x93d5415e32e033d3:0x4135a080048ce2f7!8m2!3d-10.0860749!4d-67.0724596!16s%2Fg%2F11r36h9_64!19sChIJ0zPgMl5B1ZMR9-KMBICgNUE?authuser=0&hl=pt-BR&rclk=1;;Comércio;5,569E+12
AC;Auto Peças;PitStop MDA Autopeças;;(18) 99649-3110;;;Av. Otto Ribeiro, 3147 - San Fernando Valley, Assis - SP, 19814-470;ASSIS BRASIL;;19814-470;https://www.google.com/maps/place/PitStop+MDA+Autope%C3%A7as/data=!4m7!3m6!1s0x94953993ee729001:0xbdb818ecdb2b22e4!8m2!3d-22.673269!4d-50.4197848!16s%2Fg%2F11gtyntm74!19sChIJAZBy7pM5lZQR5CIr2-wYuL0?authuser=0&hl=pt-BR&rclk=1;;Comércio;5,519E+12
AC;Auto Peças;Pemaza Peças e Pneus - Brasiléia 44 - Revendedor Oficial Goodyear;;(68) 99283-9104;;;Av. Marinho Monte, 722 - Tres botequins, Brasiléia - AC, 69932-000;BRASILÉIA;;69932-000;https://www.google.com/maps/place/Pemaza+Pe%C3%A7as+e+Pneus+-+Brasil%C3%A9ia+44+-+Revendedor+Oficial+Goodyear/data=!4m7!3m6!1s0x917eb73a3fd62a8f:0x6036c866b9f75df7!8m2!3d-11.0038636!4d-68.7465697!16s%2Fg%2F11c1qsfffc!19sChIJjyrWPzq3fpER9133uWbINmA?authuser=0&hl=pt-BR&rclk=1;http://www.pemaza.com.br/;Comércio;5,56899E+12
GO;Escritório De Contabilidade;NN Contabilidade - Contador em Goiânia e Região;;(62) 99321-2790;;;R. Treze, Qd F - Lt 12 C2 - Vila Nossa Sra. da Guia, Abadia de Goiás - GO, 75345-000;Abadia de Goiás;;75345-000;https://www.google.com/maps/place/NN+Contabilidade+-+Contador+em+Goi%C3%A2nia+e+Regi%C3%A3o/data=!4m7!3m6!1s0x935e599b3210e617:0x54288d0c4aaad2c!8m2!3d-16.7615544!4d-49.4350114!16s%2Fg%2F11hbst3l8h!19sChIJF-YQMptZXpMRLK2qxNCIQgU?authuser=0&hl=pt-BR&rclk=1;https://nncontabilidade.com/;Escritório de contabilidade;5,56299E+12
GO;Escritório De Contabilidade;Teles Assessoria Contabil;;(62) 99139-5022;;;R. Eng. Rabello, SN - Qd 27, Lt 07 - Centro, Abadiânia - GO, 72940-000;Abadiânia;;72940-000;https://www.google.com/maps/place/Teles+Assessoria+Contabil/data=!4m7!3m6!1s0x93595523c3df0f7b:0xe18c97545535078f!8m2!3d-16.1960051!4d-48.7083864!16s%2Fg%2F11b6hypbbz!19sChIJew_fwyNVWZMRjwc1VVSXjOE?authuser=0&hl=pt-BR&rclk=1;https://linktr.ee/telesassessoriacontabil;Assessoria contábil;5,56299E+12
GO;Escritório De Contabilidade;SJones e-contability;;(51) 99691-0067;;;Av. Antônio Pereira - P. da Silva, Abadiânia - GO, 72940-000;Abadiânia;;72940-000;https://www.google.com/maps/place/SJones+e-contability/data=!4m7!3m6!1s0x935955ca10f2e975:0xc9759923179af027!8m2!3d-16.1855723!4d-48.7142922!16s%2Fg%2F11tdsmt48f!19sChIJdenyEMpVWZMRJ_CaFyOZdck?authuser=0&hl=pt-BR&rclk=1;;Escritório de contabilidade;5,552E+12
GO;Escritório De Contabilidade;Escritório Contábil AMS;;(62) 3343-1175;;;Av. Geraldo R Santos, 800 - Santo Antonio, Abadiânia - GO, 72940-000;Abadiânia;;72940-000;https://www.google.com/maps/place/Escrit%C3%B3rio+Cont%C3%A1bil+AMS/data=!4m7!3m6!1s0x9359552714d2b3af:0xbe53e5820fd1f85a!8m2!3d-16.3417011!4d-48.8955046!16s%2Fg%2F1wk7rymt!19sChIJr7PSFCdVWZMRWvjRD4LlU74?authuser=0&hl=pt-BR&rclk=1;;Assessoria contábil;5,56233E+11
GO;Escritório De Contabilidade;ADS Contabilidade;;(62) 99620-8343;;;Av. Monsenhor Chiquinho, Q 40, L 08 A, Abadiânia - GO, 72940-000;Abadiânia;;72940-000;https://www.google.com/maps/place/ADS+Contabilidade/data=!4m7!3m6!1s0x935955d0de319155:0x5f6711cd108425a2!8m2!3d-16.1926565!4d-48.7044545!16s%2Fg%2F11snyylkh5!19sChIJVZEx3tBVWZMRoiWEEM0RZ18?authuser=0&hl=pt-BR&rclk=1;http://www.adscontabilidade.com/;Escritório de contabilidade;5,563E+12
