estado;segmento;nome;whatsapp;telefone;email;website;endereco;cidade;cep;telefone_e164;url
AC;Auto Peças;Auto Peças Brasil - Peças para caminhões e carretas;;(18) 3324-1068;;;Av. Abílio Duarte de Souza, 435 - Vila Rosangela, Assis - SP, 19813-000;ASSIS BRASIL;19813-000;5,51833E+11;https://www.google.com/maps/place/Auto+Pe%C3%A7as+Brasil+-+Pe%C3%A7as+para+caminh%C3%B5es+e+carretas/data=!4m7!3m6!1s0x9495390cc1f1aa8d:0x663c9ac219fbab2!8m2!3d-22.6471543!4d-50.4088958!16s%2Fg%2F11c6pl66pd!19sChIJjarxwQw5lZQRsrqfIazJYwY?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;Autotudo Produtos Automotivos;;(18) 3302-4900;;http://www.autotudo.com.br/;Av. Dom Antônio, 945 - Vila Rodrigues, Assis - SP, 19806-172;ASSIS BRASIL;19806-172;5,51833E+11;https://www.google.com/maps/place/Autotudo+Produtos+Automotivos/data=!4m7!3m6!1s0x9495397900000001:0x56a1d39c670a1efc!8m2!3d-22.6502736!4d-50.4268185!16s%2Fg%2F1ptwb98hx!19sChIJAQAAAHk5lZQR_B4KZ5zToVY?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;Crespus Auto Peças, Acabamentos e Acessórios Automotivos;51985640182;(51) 98564-0182;;;Av. Assis Brasil, 5335 - Passo d'Areia, Porto Alegre - RS, 91010-001;ASSIS BRASIL;91010-001;5,55199E+12;https://www.google.com/maps/place/Crespus+Auto+Pe%C3%A7as,+Acabamentos+e+Acess%C3%B3rios+Automotivos/data=!4m7!3m6!1s0x951977f4dd533159:0x1e80d30af293220c!8m2!3d-30.0033772!4d-51.1351689!16s%2Fg%2F11jgwwn35n!19sChIJWTFT3fR3GZURDCKT8grTgB4?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;Hiper Auto Peças;6899232894;(68) 3222-0259;;;Hiper Auto Peças - Av. Nações Unidas, 1307 - Bosque, Rio Branco - AC, 69900-460;RIO BRANCO;69900-460;5,56832E+11;https://www.google.com/maps/place/Hiper+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x917f8d10f0da831d:0xa2d869451d7863c7!8m2!3d-9.9671755!4d-67.819454!16s%2Fg%2F11shbjnrpx!19sChIJHYPa8BCNf5ERx2N4HUVp2KI?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;M&M Mecânica e Auto Peças;;(68) 99975-1870;;;AC-475, Acrelândia - AC, 69945-000;ACRELÂNDIA;69945-000;5,569E+12;https://www.google.com/maps/place/M%26M+Mec%C3%A2nica+e+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x93d5415e32e033d3:0x4135a080048ce2f7!8m2!3d-10.0860749!4d-67.0724596!16s%2Fg%2F11r36h9_64!19sChIJ0zPgMl5B1ZMR9-KMBICgNUE?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;martins auto peças;;(68) 99978-7924;;;Av. Paraná, 3, Acrelândia - AC, 69945-000;ACRELÂNDIA;69945-000;5,569E+12;https://www.google.com/maps/place/martins+auto+pe%C3%A7as/data=!4m7!3m6!1s0x93d533761075bf95:0x22312096db4f8011!8m2!3d-10.0740752!4d-67.0550063!16s%2Fg%2F1th5kj_p!19sChIJlb91EHYz1ZMREYBP25YgMSI?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;MEGA AUTO PEÇAS E CENTRO AUTOMOTIVO;;(68) 99904-7068;;https://link.meulink.bio/grupomega;Av. Nações Unidas, 1599 - Setimo BEC, Rio Branco - AC, 69918-093;BRASILÉIA;69918-093;5,569E+12;https://www.google.com/maps/place/MEGA+AUTO+PE%C3%87AS+E+CENTRO+AUTOMOTIVO/data=!4m7!3m6!1s0x917f8c4fea1fb63b:0x7a3498b32ed493e1!8m2!3d-9.9673786!4d-67.8219581!16s%2Fg%2F11f0_gpz92!19sChIJO7Yf6k-Mf5ER4ZPULrOYNHo?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;OM Distribuidora de Peças Automotivas;;(18) 3302-5252;;http://www.omdistribuidora.com.br/;R. Cap. Francisco Rodrigues García, 363 - Centro, Assis - SP, 19800-130;ASSIS BRASIL;19800-130;5,51833E+11;https://www.google.com/maps/place/OM+Distribuidora+de+Pe%C3%A7as+Automotivas/data=!4m7!3m6!1s0x9495399a53b0b597:0x2c37bab248fb8484!8m2!3d-22.6639639!4d-50.4175729!16s%2Fg%2F1v_sp9yr!19sChIJl7WwU5o5lZQRhIT7SLK6Nyw?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;PitStop MDA Autopeças;;(18) 99649-3110;;;Av. Otto Ribeiro, 3147 - San Fernando Valley, Assis - SP, 19814-470;ASSIS BRASIL;19814-470;5,519E+12;https://www.google.com/maps/place/PitStop+MDA+Autope%C3%A7as/data=!4m7!3m6!1s0x94953993ee729001:0xbdb818ecdb2b22e4!8m2!3d-22.673269!4d-50.4197848!16s%2Fg%2F11gtyntm74!19sChIJAZBy7pM5lZQR5CIr2-wYuL0?authuser=0&hl=pt-BR&rclk=1
AC;Auto Peças;Portela Auto Peças;;(68) 3235-1164;;;Av. Adenilson Rogério de Oliveira, Acrelândia - AC, 69945-000;ACRELÂNDIA;69945-000;5,56832E+11;https://www.google.com/maps/place/Portela+Auto+Pe%C3%A7as/data=!4m7!3m6!1s0x93d5411eb2ab3e49:0x4257a9d1ac7b8f90!8m2!3d-10.0730087!4d-67.0539818!16s%2Fg%2F11gdkq429w!19sChIJST6rsh5B1ZMRkI97rNGpV0I?authuser=0&hl=pt-BR&rclk=1
